,source,reqs
30,1998 - themas.xml,"Two types of temperature data shall be recognized from the thermostats: 1) the temperature setting and 2) the current temperature. This module shall process both types of data. A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values. If the current temperature value is strictly less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status. A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values. If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall realize the value for that thermostat’s temperature setting."
31,1998 - themas.xml,Invalid Temperature Valid Temperature
32,1998 - themas.xml,The following sections describe the Monitor Temperature component of the THEMAS system.
33,1998 - themas.xml,The THEMAS system shall determine wh en a reported temperature or a changed temperature setting exceeds the limits set by the overtemperature values. Temperatures that exceed the overtemperature limits shall be reported as such. Temperatures that do not exceed these limits shall be output for subsequent processing.
34,1998 - themas.xml,Valid Temperatures Trigger Values Overtemp Values
35,1998 - themas.xml,"The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits. To clarify these conditions, the following definitions will be used: LO : Lower Overtemperature Value = TSET - OD UO : Upper Overtemperature Value = TSET + OD If T = LO or UO = T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded. In this case this process shall output the condition of the temperature limit having been exceeded. If LO = T = UO, then this process shall output the temperature status."
36,1998 - themas.xml,Temperature Trigger Exceeded Temperature Limit Exceeded
37,1998 - themas.xml,"When the current temperature value exceeds the current temperature setting by a pre -defined amount, the THEMAS system shall activate the appropriate heating or cooling unit.s"
38,1998 - themas.xml,Temperature Trigger Exceeded
39,1998 - themas.xml,"There are two conditions for each individual thermostat that shall be tested for: 1) the thermostat’s settings are satisfied and 2) the thermostat’s temperature indica tes it requires a heating or cooling unit to be turned on. To clarify these conditions, the following definitions will be used: LT : Lower Trigger Value = TSET - TD UT : Upper Trigger Value = TSET + TD Condition 1: LT = T = UT This condition indicates the thermostat’s current temperature setting is satisfied. If this condition is true, then the module shall output a request to turn off both the heating unit and the cooling unit. Condition 2: LO = LT or UT T = UO This condition the need for a heating or cooling unit to be turned on. If this condition is true, then this module shall output a request to turn on the heating unit if LO = T LT or the cooling unit if UT T = UO."
40,1998 - themas.xml,H/C Request
41,1998 - themas.xml,The THEMAS system shall control each of the heating and cooling units that are defined for the system. The THEMAS system shall limit the number of heating or cooling units t hat may be running simultaneously.
42,1998 - themas.xml,Operational Parameters H/C Request
43,1998 - themas.xml,"The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit. When a request to turn on or off a heating or cooling unit, the following processing will occur. When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored. If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue. If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit. When a request to turn off a heating or cooling unit is received, this process shall check the queue of waiting heating and cooling requests. If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made. If that thermostat still needs a heating o r cooling unit turned on, this process shall submit a request to turn that unit on."
44,1998 - themas.xml,Unit Unavailable H/C ON/OFF Request
45,1998 - themas.xml,"When a request for a heating unit or cooling to be turned is denied, an event shall be generated and the THEMAS system shall record that event. The information in these events will be used for creating statistical reports."
46,1998 - themas.xml,Unit Unavailable
47,1998 - themas.xml,"This procedure shall realize the thermostat and heating or cooling information and use this information to generate a specific system event. This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on."
48,1998 - themas.xml,System Event Data
49,1998 - themas.xml,The THEMAS system shall control the heating and cooling units that are designated as part of the THEMAS system.
50,1998 - themas.xml,H/C ON/OFF Request
51,1998 - themas.xml,"When a request to turn on or off a heating or cooling unit is made, this process shall generate the appropriate request to carry out that request. This request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off."
52,1998 - themas.xml,Approved H/C Request
53,1998 - themas.xml,"Once a request to turn on or off a heating or cooling unit, the THEMAS system shall provide the necessary control signal for the unit. This control signal shall also provide an indication of the unit’s status at the requesting thermostat."
54,1998 - themas.xml,Approved H/C Request
55,1998 - themas.xml,"This process shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested. The necessary signal to the heating or cooling unit will be generated. Since the interface to con trol the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined). In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, this procedure shall output the status information of the heating or cooling unit. In order to provide an operational history and statistical reports, this process shall generate an event each time a change is made to the status of a heating or cooling unit. This ev ent shall contain the identification of the heating or cooling unit whose status is being changed."
56,1998 - themas.xml,Heating Unit Signal Cooling Unit Signal Unit Status System Events
57,1998 - themas.xml,"There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has exceeded the defined limits. This process shall determine which alarm event is to be generated."
58,1998 - themas.xml,Invalid Temperature Temperature Limit Exceeded
59,1998 - themas.xml,"When the THEMAS system detects a request for an alarm, this process shall detect which of the two alarms are being requested. If the system detects an invalid temperature, this process shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor’s computer. Each beep shall have a three - quarter second duration. This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window. If the system detects a temperature limit has been exceeded, this process shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer. Each beep shall have a one-half second duration. This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window. Each time an alarm is requested, an alarm event shall be recorded. This event shall be used to provide operational and statistical reports about the system."
60,1998 - themas.xml,Alarm Data Alarm Events
61,1998 - themas.xml,"For each event that is generated, the THEMAS system shall identify each event and generate the appropriate event data."
62,1998 - themas.xml,Alarm Events System Events Denied H/C Request
63,1998 - themas.xml,"When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message. The THEMAS system shall record each event by a description and the c urrent system time for that event. This information shall be recorded in a Microsoft® Access® database that shall reside on the supervisor’s computer."
64,1998 - themas.xml,Event Data
65,1998 - themas.xml,The THEMAS system shall provide the supervisor a mechanism to change the temperature setting of any of the thermostats in the system.
66,1998 - themas.xml,Operational Parameters
67,1998 - themas.xml,The supervisor’s interface shall display the available thermostats and their individual current temperature settings. The supervisor shall be able to select one of the thermostats and select a value for the current temperature from a list of valid temperatures.
68,1998 - themas.xml,Temperature Data
69,1998 - themas.xml,The THEMAS shall provide the ability for the supervisor to select between two different types of reports: 1) the operational history of the THEMAS system for the past twelve months and 2) a statistical summary for any selected mont h.
70,1998 - themas.xml,Event Data
