,source,reqs
17,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about any living things other than persons or animals that are involved in an OM investigation, including: type of living thing, and other customizable data collection questions."
18,2005 - phin.xml,"Systems supporting OM must have the capability to capture an entity’s travel history to support investigations of entities infected, exposed or potentially exposed."
19,2005 - phin.xml,"When a health event is investigated, it must be assigned an event identifier (i.e., Event ID) that is unique within the jurisdiction."
20,2005 - phin.xml,"Data describing the health event should be captured, including the reason for the investigation, the category of event (e.g. environmental, infectious), the date the event began, the suspected agent (if known) or investigation focus, the geographic area impacted by the event, as well as the event status (e.g., open, closed)."
21,2005 - phin.xml,Systems supporting OM should have the ability to record the case definition for a health event.
22,2005 - phin.xml,Systems supporting OM should have the ability to capture changes to the case definition that occur as the health event evolves.
23,2005 - phin.xml,"Travel history provides specific information to indicate when, where, and how subjects involved in an event traveled to a location (or to multiple locations), and conveyance data describes the vehicle in which the travel occurred. Examples of travel history include a person’s local travel as a part of their daily activities as well as the shipment of animals or plants from one country to another."
24,2005 - phin.xml,"Travel history data should include information such as the method of transportation (e.g. bus, plane, boat, car), flight number, departure and arrival dates and times, and the origination and destination locations (city, state, and country)."
25,2005 - phin.xml,"Information about each leg of a trip, as well as the parent information about the trip, should be captured. For example, if a person who lives in Georgia travels to Seattle and becomes exposed to monkey pox, then visits a friend in Santa Fe, travel history and conveyance data should be noted accordingly for each place the exposed person traveled."
26,2005 - phin.xml,"Travel history data to be collected for an animal or object should include shipping invoices, animal shelter delivery and adoption receipts, and delivery schedules (including delivery vehicle and driver information)."
27,2005 - phin.xml,"Detailed conveyance data must be collected when relevant to the investigation, including the carrier identifier, the type of conveyance (such as airplane, bus, or train, among countless others), as well as the make, model, year, and identification number (e.g., VIN) of each vehicle with which the entity was in contact (if this information is relevant to the investigation)."
28,2005 - phin.xml,"Case and exposure data provide more detailed information beyond demographic data. Cases can be persons or animals, and exposure contacts can be persons, animals, other organisms, or exposure settings, such as travel conveyance, location, organization, object, or event."
29,2005 - phin.xml,"Because attributes of both case and exposure data may describe the same entity, systems supporting OM must have the ability to avoid capturing redundant entity demographic information."
30,2005 - phin.xml,Public Health Case Data
31,2005 - phin.xml,"Case data about the entity should include: a case identifier (i.e., Case ID) that is unique within the jurisdiction being reported, the suspected agent, case diagnosis, health status (e.g., no symptoms, acute illness), case status (e.g., confirmed, probable, suspect), investigation dates, clinical history, symptom onset date and time, epidemiological links to other cases, and priority (e.g., high, medium, low)."
32,2005 - phin.xml,There must be a means to update the case diagnosis either manually or automatically if the case definition changes during an event.
33,2005 - phin.xml,"Epidemiological (epi) data must be collected to assist in the case investigation of events. Standard epi data to be collected includes: onset date and time of symptoms, type of symptoms, risk factors, medical history data, laboratory data, procedure data, and questionnaire responses."
34,2005 - phin.xml,"Systems supporting OM must allow for dynamic, event-specific case investigation data to be captured."
35,2005 - phin.xml,"In the context of a case, all entities exposed to a case must be recorded and linked to the case."
36,2005 - phin.xml,"Demographic information should be collected about the investigator, including their name, address, and contact information, so that the investigator may be contacted to answer questions or to provide additional information."
37,2005 - phin.xml,"Both the jurisdiction investigating the event and the jurisdiction reporting the cases and associated investigations must be captured. For example, if a person becomes ill during travel in one jurisdiction but is the resident of another, the illness will be reported by the state (jurisdiction) of residence and investigated by the jurisdiction visited."
38,2005 - phin.xml,"Systems supporting OM should have the ability to classify entities associated with the investigation as investigation controls. For example, controls share demographic characteristics with the subject of the case, but are not infected with the agent that is the focus of the investigation."
39,2005 - phin.xml,Exposure Contact Data
40,2005 - phin.xml,"Exposure investigation data to be captured must include information related to exposure levels, type of exposure (e.g., intimate, social, household, common conveyance), place of exposure, length of time the entity was exposed, frequency of exposure, and the entity’s proximity to the source of exposure."
41,2005 - phin.xml,"Detailed data must be collected about the source of exposure as well as the exposed entity to support contact exposure tracing. Exposure data related to both the potential source and the potential spread include the entity’s type, Subject ID, Contact ID, contact’s name and address, exposure dates and times, health status, and priority code."
42,2005 - phin.xml,"Epi data must be collected to assist in the exposure investigation of health events. Standard epi data to be collected for exposure investigation parallels the data to be collected for case investigation and includes: onset date and time of symptoms, type of symptoms, risk factors, laboratory data, procedure data, and questionnaire responses."
43,2005 - phin.xml,"Systems supporting OM must support capturing dynamic, event-specific data that describes contact between two subjects."
44,2005 - phin.xml,"Monitoring and follow-up data is used to track the progress and treatment of subjects who were exposed or potentially exposed to a health event. For more information about monitoring and follow-up data, please reference “PHIN Countermeasure/Response Administration Functional Requirements and Process Flows”, available at www.cdc.gov/phin."
45,2005 - phin.xml,Systems supporting OM should support the monitoring and follow-up activities required when tracking the status of cases and exposed individuals.
46,2005 - phin.xml,Monitoring data should be collected about cases and exposed individuals who are isolated or quarantined because of a health event.
47,2005 - phin.xml,Follow-up data should be collected from subjects or their proxies to track symptoms and compliance with recommended treatment plans or prophylaxis.
48,2005 - phin.xml,"Follow-up data may be received from take response exams of persons who received a countermeasure that requires such an exam (i.e., smallpox vaccination)."
49,2005 - phin.xml,"Specimen/sample collection and laboratory response data supports the collection of clinical specimens, food samples, environmental samples, and other types of samples that will be tested for biological, chemical, and radiological agents. These specimens/samples can be collected from places, persons, animals, or environmental sources such as air, water, food, or soil."
50,2005 - phin.xml,"Specimens/samples collected for laboratory testing must be assigned an identifier (i.e., Specimen ID) that is unique within the jurisdiction."
51,2005 - phin.xml,"The subject of a specimen/sample collected for laboratory testing must be linked to the specimen/sample by an identifier (i.e., Subject ID) that is unique within the jurisdiction."
52,2005 - phin.xml,"Systems supporting OM must be able to store data about the specimens/samples that are collected for laboratory testing. Examples of this data are: Specimen ID, Subject ID, purpose for test, collection date and time, subject type (e.g., human, plant, animal, food), specimen category, specimen type, suspected agent, risk indicator (e.g., infectious, radioactive, corrosive), person performing specimen/sample collection (including contact information), location of collection, and volume and quantity details."
53,2005 - phin.xml,"Clinical specimen data should include information about the specimen source/site from which the specimen was taken, symptom date of onset, and whether the sample is acute or convalescent."
54,2005 - phin.xml,"Environmental sample data should include information about the collection method, location (geocoded if possible) from which the sample was taken, source (e.g., rain or well for water, radiation release, asbestos, chair or desk in a specified location), nature of the sample (e.g., soil, water, air), quality control data, collection begin and end date and time for air samples, and original volume and volume of concentrate tested for water samples."
55,2005 - phin.xml,"Food sample data should include information about the lot number, batch number, manufacturer name, shipping invoice, temperature, sample type (e.g., dairy – milk, red meat, spice), and product storage condition."
56,2005 - phin.xml,Bar-coding should be supported for the capture of detailed specimen/sample data to improve the quality and efficiency of data collection.
57,2005 - phin.xml,Chain of custody information for all specimens/samples should be captured.
58,2005 - phin.xml,"Chain of custody information for forensic and select agent samples must be captured, including the person who collected the sample, the location of collection, all people who came into contact with the sample during the preparation for shipment to the laboratory, and the acceptance of the package by the shipper."
59,2005 - phin.xml,Systems supporting OM must be able to create a laboratory test request for a specimen/sample or group of specimens/samples. More information about creating laboratory test requests is found in section 2.5 System Integration and Data Exchange of this document.
60,2005 - phin.xml,"Information about batch shipments of specimens/samples that are transferred to test laboratories or other facilities must be collected, including the shipper (e.g., UPS, FedEx), shipment tracking number, and the sending organization’s contact information."
61,2005 - phin.xml,"Systems supporting OM should be able to support the inclusion of labeling, packaging and shipping instructions (e.g., container type, storage condition, preservative), and the shipping manifest with batch shipments of specimens/samples."
62,2005 - phin.xml,Systems supporting OM must be able to store laboratory result(s) and link the result(s) to the original laboratory test request. More information about receiving and linking laboratory test requests is found in section 2.5 System Integration and Data Exchange of this document.
63,2005 - phin.xml,"Systems supporting OM must store data about laboratory results. Examples of this data include the Specimen ID, Subject ID, test date and time, test type (LOINC), data for each organization involved in the testing of the specimen/sample (e.g., testing or reference laboratory name, location, contact information), laboratory results and result values (SNOMED), other data such as unit of measure for result value, overall interpretation, and any relevant notes."
64,2005 - phin.xml,"If the specimen/sample collection record exists, the laboratory result must be linked to the specimen collection record by the Specimen ID."
65,2005 - phin.xml,"If the specimen/sample collection record does not exist, the laboratory result must be linked to the subject by the Subject ID."
66,2005 - phin.xml,"All levels of granularity of results (e.g., specimen/sample level, assay level) must be supported."
67,2005 - phin.xml,"Systems supporting OM should capture or be linked to data regarding the prophylaxis or treatment to cases, exposed individuals, or at risk persons, including the person who ordered the prophylaxis or treatment, and the name, date, type, duration, and dosage of the treatment or prophylaxis given. For specific data requirements regarding the administration of prophylaxis and treatment, please reference PHIN Preparedness Countermeasure/Response Administration Functional Requirements and Process Flows, available at www.cdc.gov/phin."
68,2005 - phin.xml,"Contraindication information should be collected to indicate why vaccinations, treatments, or antidotes may not have been administered or why the patient may not have complied with prescribed interventions."
69,2005 - phin.xml,"If an affected person suffers a negative reaction to a vaccine or prophylaxis that was administered, adverse event data may be collected and used to determine the need for additional interventions or to determine if there is a problem with the pharmaceutical, batch, or the administering facility or person. For specific data requirements regarding adverse event data, please reference PHIN Preparedness Countermeasure/Response Administration Functional Requirements and Process Flows, available at www.cdc.gov/phin."
70,2005 - phin.xml,"Systems supporting OM should capture information such as the date and time of an activity, activity type, who initiated the activity, and contact information to generate activity logs for management purposes."
71,2005 - phin.xml,"Activity logs, which are tools for investigators to track their actions during a case, should be supported. For example, investigators may log calls made to monitor symptoms or calls made to schedule follow-up visits."
72,2005 - phin.xml,"Activity logs may also provide information needed to support communication with various jurisdictions in the event that the investigation crosses jurisdictional boundaries. For example, if a person becomes ill during travel in one jurisdiction but is the resident of another, the illness will be reported by the state (jurisdiction) of residence, rather than by the jurisdiction visited."
73,2005 - phin.xml,"Electronic questionnaires must be developed and validated. They will be designed by investigators to collect common data elements (e.g., patient demographics, test results, exposure contacts), agent-specific data elements (e.g., specific laboratory test), and other customized data elements."
74,2005 - phin.xml,Electronic questionnaires should provide the capability to accept digital signatures.
75,2005 - phin.xml,Systems supporting OM must provide the ability to control the configuration of and revisions to investigation-specific questionnaires.
76,2005 - phin.xml,Systems supporting OM must provide the ability to publish investigation-specific questionnaires and implementation guides.
77,2005 - phin.xml,Case investigation should be supported by reusable questionnaire libraries that use common terminology (where available) to maximize the efficiency of data exchange.
78,2005 - phin.xml,Systems supporting OM should provide a manual or automatic means of updating the status of case records as the case definition changes.
79,2005 - phin.xml,Systems supporting OM should track the changes made to the status of case records as a result of changes in the case definition.
80,2005 - phin.xml,"Linkages allow investigators to create meaningful analysis, characterize the event, and identify at-risk populations."
81,2005 - phin.xml,"Systems supporting OM must support dynamically defined associations between entities for the purpose of defining relationships. For example, person-to-person (e.g., family relationship, exposure relationship), person-to-place (e.g., household, common place), animal-to-person, object-to-place, person-to-travel."
82,2005 - phin.xml,"Entity-to-epi data links must match the entity to their symptoms, survey questions, specimens/samples collected, laboratory results, and prophylaxis and treatment data."
83,2005 - phin.xml,Each new case must be able to link an assigned Entity ID to an Event ID within the scope of the investigation.
84,2005 - phin.xml,"Systems supporting OM require the ability to capture information about possible cases and potential contacts from the identification process through the treatment and follow-up process, as supported by linkages among entities, events, and actions."
85,2005 - phin.xml,"Laboratory results must be linked to corresponding specimens/samples including multiple results from one specimen/sample), and subjects when the participating laboratory returns the results. These linkages must unambiguously associate multiple laboratory results to case and contact identifiers."
86,2005 - phin.xml,"If the specimen/sample was created from another specimen/sample (e.g., aliquots, and new specimen types created from a source sample), laboratory results for the child specimens/samples must be linked to the corresponding parent specimen/sample."
87,2005 - phin.xml,"Each investigation subject may be associated with exposure contacts, including unambiguous links to contacts in other jurisdictions."
88,2005 - phin.xml,"Contacts of exposed entities (e.g., people, animals, places) may be traced, investigated, and monitored."
89,2005 - phin.xml,"Systems supporting OM should be able to create new contacts from existing case records, and should also identify the contact type."
90,2005 - phin.xml,"Systems supporting OM must support contact exposure tracing by allowing one contact to be linked to multiple cases, and allowing multiple contacts to be linked to a single case."
91,2005 - phin.xml,"Systems supporting OM should be able to produce contact work lists for each investigator to use, and should allow sorting by priority or geography."
92,2005 - phin.xml,
93,2005 - phin.xml,Systems supporting OM should allow for analytical searches based upon multiple criteria.
94,2005 - phin.xml,"Systems supporting OM should have the ability to produce charts, maps, and graphs that illustrate OM data, such as epi-curves and the effect of vaccination or prophylaxis on the number of new cases (demonstrating the effectiveness in containing the health event) or maps that illustrate the number of cases by zip code."
95,2005 - phin.xml,"Systems supporting OM should generate electronic data dictionaries for dynamic data (or other user-defined data descriptions to assist with effective data exchange), line lists, activity logs, aggregate data, and call-back lists to assist the emergency response group and investigators in responding to and containing a health event."
96,2005 - phin.xml,"Reports generated by systems supporting OM should clearly indicate the number of cases, the number of contacts per case, the number of cases with no known epi-link at the time of diagnosis, the laboratory results, and the number of vaccinations and/or treatments administered."
97,2005 - phin.xml,"Systems supporting OM should have the ability to produce pre-formatted queries and reports to allow faster and more accurate reporting, while still allowing the flexibility of ad-hoc reporting."
98,2005 - phin.xml,Systems supporting OM should have the ability to produce individual reports for each emergency team member or investigator.
99,2005 - phin.xml,"Systems supporting OM should have the ability to compare characteristics of exposed and non-exposed (i.e., controls) persons."
100,2005 - phin.xml,"Systems supporting OM should have the ability to produce lists of action items (e.g., to do lists)."
101,2005 - phin.xml,"Systems supporting OM must have the ability to print questionnaires for multiple uses, including taking to the field, use during phone interviews, etc."
102,2005 - phin.xml,"Systems supporting OM must be able to aggregate data. Examples of aggregated data to be supported are: number of cases, number of contacts per case, and number of vaccinations and/or treatments administered."
103,2005 - phin.xml,"Health event data should be aggregated into a centralized data store (i.e., data warehouse) designed specifically to support analysis of events over time."
104,2005 - phin.xml,"Data should be accessible for use with commonly available analytical tools (e.g., SAS, SPSS, EPI-INFO, MS Access, MS Excel, Crystal Reports)."
105,2005 - phin.xml,"SYSTEM INTEGRATION AND DATA EXCHANGE Systems integration requirements specific to systems supporting OM are included in the section below and describe the types of data that OM should be able to send and receive. This section is limited to describing the types of data exchange that OM must support; not the requirements for transporting the data. Bi-directional, secure exchange of data with partner organizations supports public health investigations across all levels of public health. Message construction and parsing, and secure data transport requirements that span PHIN functional areas are separately defined and should be reviewed in “PHIN Preparedness Cross Functional Components Requirements”, available at www.cdc.gov/phin."
106,2005 - phin.xml,"Contact information for key response partner organizations should be stored in a local instance of a public health directory for associating to a health event, as described in section 2.2.2 Health event Data of this document."
107,2005 - phin.xml,Systems supporting OM must be able to accept data from other partner systems supporting OM.
108,2005 - phin.xml,"Systems supporting OM must be able to create and send messages for laboratory test requests. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
109,2005 - phin.xml,"Systems supporting OM should be able to receive, parse and process messages for laboratory test request responses, in accordance with PHIN Laboratory Test Order Response Message Implementation Guide, available at www.cdc.gov/phin."
110,2005 - phin.xml,"Systems supporting OM must be able to receive, parse and process messages for laboratory results. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
111,2005 - phin.xml,"Laboratory results should be linked to laboratory test requests, which are linked to subjects."
112,2005 - phin.xml,"Systems supporting OM should be able to exchange messages for laboratory results with systems supporting surveillance, early event detection (EED), and other preparedness areas."
113,2005 - phin.xml,"Systems supporting OM must be able to exchange messages for confirmed, probable and suspect cases, and the other case classifications that are noted in the PHIN message implementation guide, with systems supporting surveillance, early event detection (EED), and other preparedness areas. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
114,2005 - phin.xml,"Systems supporting OM must exchange messages for investigations and for exposure contacts. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
115,2005 - phin.xml,"Systems supporting OM must be able to receive, parse and process messages for countermeasures that have been administered. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
116,2005 - phin.xml,Countermeasures that have been administered must be linked to the entity that was administered the countermeasures.
117,2005 - phin.xml,"Systems supporting OM must be able to create and send messages for countermeasure administration requests. This requirement is identified as a key performance measure for assessing preparedness as described in PHIN Preparedness Key Performance Measures, available at www.cdc.gov/phin."
118,2005 - phin.xml,"Systems supporting OM must be able to exchange aggregated data. Examples of aggregated data to be supported are: number of cases, number of contacts per case, and number of vaccinations and/or treatments administered."
119,2005 - phin.xml,"Systems supporting OM should be able to provide the aggregate data necessary for health event monitoring to systems that support response tracking, such as the number of suspect cases, number of persons under isolation or quarantine, and the number of patients receiving countermeasures."
120,2005 - phin.xml,Mapping interfaces and data dictionaries must be clearly defined and included in data exchanges to indicate and describe both standard and customized fields because systems supporting OM are configurable to meet the individual needs of each event and therefore collect data specific to each event.
121,2005 - phin.xml,"Message components should be grouped by observation type (e.g., laboratory, symptom, exposure, risk, treatment) by systems supporting OM."
122,2005 - phin.xml,"Systems supporting OM should support multiple file formats for import and export, such as databases, spreadsheets, messages, and text files, among others"
